,ID,SYMBOL,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJCLOSE
1383,,MSFT,1991-03-15,0.8792,0.8861,0.8514,0.8566,76928000.0,0.8566
1384,,MSFT,1990-11-20,0.6189,0.6363,0.6033,0.605,68864000.0,0.605
1385,,MSFT,1990-10-11,0.5385,0.5454,0.5003,0.5142,83811200.0,0.5142
1386,,MSFT,1990-07-10,0.6607,0.6712,0.6503,0.6538,29696000.0,0.6538
1387,,MSFT,1990-03-09,0.4686,0.4825,0.4634,0.4721,75744000.0,0.4721
1388,,MSFT,1990-01-03,0.3973,0.4025,0.3904,0.3956,113772800.0,0.3956
1389,,MSFT,1989-12-14,0.3527,0.3579,0.3457,0.3457,61516800.0,0.3457
1390,,MSFT,1989-08-16,0.2607,0.2624,0.2451,0.2477,46668800.0,0.2477
1391,,MSFT,1989-05-17,0.2474,0.2587,0.2474,0.2543,89811200.0,0.2543
1392,,MSFT,1989-02-28,0.2672,0.2689,0.2603,0.2637,43443200.0,0.2637
1393,,MSFT,1989-01-20,0.2356,0.2416,0.2338,0.2399,61027200.0,0.2399
1394,,MSFT,1989-01-18,0.23,0.23,0.2196,0.2283,63632000.0,0.2283
1395,,MSFT,1988-12-02,0.2118,0.224,0.2118,0.2205,91497600.0,0.2205
1396,,MSFT,1988-10-28,0.2177,0.2211,0.2125,0.2194,46540800.0,0.2194
1397,,MSFT,1988-09-06,0.227,0.234,0.2253,0.2305,67750400.0,0.2305
1398,,MSFT,1987-08-03,0.2112,0.2129,0.2016,0.2033,116352000.0,0.2033
1399,,MSFT,1987-05-04,0.2302,0.2397,0.2285,0.2371,34531200.0,0.2371
1400,,MSFT,1987-03-19,0.1962,0.2022,0.1909,0.2022,62812800.0,0.2022
1401,,MSFT,1986-11-13,0.0955,0.0964,0.0929,0.0934,30211200.0,0.0934
1402,,MSFT,1986-09-23,0.0648,0.0674,0.0648,0.0665,5961600.0,0.0665
1403,,MSFT,1986-08-14,0.065,0.0685,0.065,0.0676,20131200.0,0.0676
1404,,MSFT,1986-05-19,0.0721,0.0721,0.0695,0.0704,11001600.0,0.0704
1405,,MSFT,2020-09-11,207.199997,208.630005,201.240005,204.029999,33620100.0,204.029999
1406,,MSFT,2020-08-05,214.3865,214.4865,211.0565,212.4265,28858600.0,212.4265
1407,,MSFT,2020-05-22,182.7475,184.0175,182.0975,183.0675,20826900.0,183.0675
1408,,MSFT,2020-03-24,142.9813,148.8313,140.5013,147.5713,82516700.0,147.5713
1409,,MSFT,2020-01-09,160.5608,160.9408,159.7508,160.8108,21385000.0,160.8108
1410,,MSFT,2019-10-16,139.2095,139.4095,137.9495,138.8295,20751600.0,138.8295
1411,,MSFT,2019-10-10,136.9242,138.1042,136.6842,137.5342,17654600.0,137.5342
1412,,MSFT,2019-06-18,132.2251,133.2751,131.6051,133.1951,25934500.0,133.1951
1413,,MSFT,2019-01-25,104.845,105.485,103.805,104.775,31225600.0,104.775
1414,,MSFT,2018-11-21,101.2957,102.1257,99.9357,100.8057,28130600.0,100.8057
1415,,MSFT,2018-04-10,89.1885,90.0785,88.4385,89.6785,26812000.0,89.6785
1416,,MSFT,2017-07-25,70.1756,70.6855,69.8755,70.5656,22018700.0,70.5656
1417,,MSFT,2017-07-03,65.9996,66.2696,64.6896,64.8396,16165500.0,64.8396
1418,,MSFT,2017-06-16,66.3102,66.6102,65.8002,66.5802,48345100.0,66.5802
1419,,MSFT,2017-01-19,58.5036,59.2436,58.4636,58.5636,18451700.0,58.5636
1420,,MSFT,2017-01-17,58.9299,58.9499,58.2799,58.7799,20664000.0,58.7799
1421,,MSFT,2016-10-10,54.063,54.543,54.023,54.193,18196500.0,54.193
1422,,MSFT,2016-05-19,46.8437,46.9937,46.1937,46.6937,23842400.0,46.6937
1423,,MSFT,2016-04-25,47.6888,48.0388,47.5388,48.0188,33226900.0,48.0188
1424,,MSFT,2016-03-14,48.5356,49.4156,48.4556,48.9956,24083600.0,48.9956
1425,,MSFT,2016-02-23,48.3219,48.3519,46.9619,47.1619,28895300.0,47.1619
1426,,MSFT,2015-07-30,41.7052,42.8452,41.3752,42.3252,39777900.0,42.3252
1427,,MSFT,2015-06-29,40.7291,40.9191,40.0491,40.0591,34081700.0,40.0591
